trackName,endTime,artistName,msPlayed,uri
Ese Maldito Momento,2022-09-11 13:12,No Te Va Gustar,746748,4xEAPLGnp20PYUlhbKHuTF
Estás Con Él,2022-09-27 17:14,Quevedo,4246041,5YOObwV9DaFoK8Z85LZbY0
Evergreen (You Didn’t Deserve Me At All),2022-10-04 14:12,Omar Apollo,5851216,2TktkzfozZifbQhXjT6I33
Ex de Verdad - HA-ASH Primera Fila - Hecho Realidad [En Vivo],2022-08-22 13:40,Ha*Ash,3583,40lU8uy8xKKRAP9A1N3BqH
Explícito,2023-04-12 09:35,Myke Towers,195066,6qraVL4IJaIj0IuEexYJNa
Eyes Closed,2023-04-21 18:33,Ed Sheeran,58177,0h3PlGdTl8kUA47Zb2kJAi
FRESCO,2022-06-09 22:23,WOS,7083316,0blWPYAfbvpRLVHUcmqmmj
Faded,2023-05-11 01:11,Alan Walker,10418,09rVMsPoIYUijNcMs0chGQ
Falling,2022-06-28 20:12,Harry Styles,93941,4TnjEaWOeW0eKTKIEvJyCa
False Confidence,2022-09-01 00:44,Noah Kahan,806491,7nDFTHHwfe32a8qdp9XqPy
Familiar,2023-05-05 22:18,Liam Payne,9333,0Y4hwUppbGc8aIBmiTz30A
Fantasias,2022-12-20 23:11,Rauw Alejandro,1023,6mAN61JH0dzyZpWslS11jy
Fantasias - Unplugged,2022-08-10 01:12,Rauw Alejandro,2208400,6qqd7DGn2VXzxsR4k3Ycun
Favorito,2023-01-18 13:36,Camilo,55529,0jT8Nl0shPS8115is0wD2Q
Fergalicious,2022-09-08 23:28,Fergie,101209,1D066zixBwqFYqBhKgdPzp
Fetish (feat. Gucci Mane),2023-03-23 09:53,Selena Gomez,3242,0XLOf9LhyazPX9Ld8jPiUq
Fiel,2022-10-09 17:43,Los Legendarios,1230,7Bk0uXKk1uPT0XuQbpFzvs
Fiera,2022-10-28 16:04,Cris Mj,1466422,5cDyidxA6n2xI4iFsqzt6D
Fine,2022-09-01 00:54,Noah Kahan,582682,2elxgOyiNPM0QYjixON7cn
Flames - Tepr Remix,2022-10-05 13:54,David Guetta,5423,512JyhHrndIxZ81JmYZLmP
Flashed Junk Mind,2022-10-20 10:57,Milky Chance,639221,7EuTFqQnMZoIaGisMRCtf6
Flores,2022-10-13 01:31,Babi,491697,4WjtEdWL0JnxlWo80LpTr6
Fresa,2023-03-08 09:40,TINI,4219,4BCPItsB94KDLuERZT3aNM
Friends,2022-11-23 15:30,Eladio Carrion,20720,0GmfYAOe7Y3vIv4lKdaeOA
From Now On,2023-03-23 09:53,Hugh Jackman,5120,3IkWmgGsXbsafrunwPojXO
Fucking Diablo,2023-02-28 02:52,Nicki Nicole,309402,5HugdP5zn1KUybBdc1xsdf
Fue amor,2022-09-13 19:05,Fito Paez,270475,1bOJr9cWKEDAiJxRaHThrT
Fuentes de Ortiz,2022-10-10 02:16,Ed Maverick,3484780,0akyEssGRVHstqCSWXusJL
Fuera del mercado,2022-06-01 22:50,Danny Ocean,7204543,1UdzJEpgJxtuXAlCOvD4S0
Funeral,2022-06-23 22:39,Cami,551948,1ueLYdeuGMAwUiaezLDObD
GATO NEGRO,2022-06-23 22:15,WOS,2277422,5Mn4FEB5vtRI4tbr3MwNnO
GPS (feat. French Montana),2023-03-24 18:37,Maluma,1642,3t6j6WNv2OSn6qm5Vxynub
Gasolina,2022-10-05 13:50,Daddy Yankee,3630,6jEZLz3YpnEBRpVkv35AmP
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,2023-01-18 09:00,Bingo Players,9735,3wLPRjw2XQpmowqXUXb3UF
Get You The Moon (feat. Snøw),2022-10-10 02:20,Kina,188552,4ZLzoOkj0MPWrTLvooIuaa
Godzilla (feat. Juice WRLD),2023-03-23 09:53,Eminem,2645,7FIWs0pqAYbP91WWM0vlTQ
Goosebumps - Spanish Remix,2022-10-07 14:31,Larking,37956,6hEPhvbMFQiKSBG22fspFI
Goteo,2022-07-26 03:34,Duki,1649121,1EoEU4HY57qaITp06TkC6B
Grenade,2023-01-09 16:36,Bruno Mars,222091,4lLtanYk6tkMvooU0tWzG8
