artist,album,track,uri
Train,California 37,Drive By,spotify:track:0KAiuUOrLTIkzkpfpn9jb9
Sublime Reggae Kings,Vintage Reggae Beats,Say It Right,spotify:track:6yHoHxdsnzk5RgCAX9m3zJ
Ed Sheeran,÷,Save Myself,spotify:track:6TIU9Ehmi6dMzZK73Ym4yj
Canserbero,Muerte,Mundo de Piedra,spotify:track:4fhF0iJffyUJReKSecg78m
Queen,Bohemian Rhapsody,The Show Must Go On,spotify:track:5WZDLZVCvY1rEyNir6k8Pg
Ed Sheeran,+,Autumn Leaves - Deluxe Edition,spotify:track:7iBSkXB0pTvZasOLf0Qxk9
Jason Mraz,Love Is a Four Letter Word,I'm Coming Over,spotify:track:3vaEUJwqNMJHuNJEeW3DGc
Jason Mraz,YES! (Commentary),3 Things - Commentary,spotify:track:7DnIiruL3WwET6fM0EE80w
Riddim,40 Principales Pop & Rock Nacionales,Tu Amor,spotify:track:0NwN2Qr3f8GRICUO1Zb60x
Los Auténticos Decadentes,40 Principales Pop & Rock Nacionales,Un Osito de Peluche de Taiwán,spotify:track:021JSGxBb3MYkgBMha91TF
Ed Sheeran,÷,Hearts Don't Break Around Here,spotify:track:2dfHh7ECGxfNqZTQno09Vk
Justin Bieber,Believe,She Don't Like The Lights,spotify:track:2gT7FMqbkW9dG5ILrCcZZw
Arnau Griso,Revolución Bananera,Ser y Estar,spotify:track:5FMd79jDEAKTpQB6YmPVQJ
La Beriso,En Vivo en el Estadio Único,Donde Terminaré - En Vivo en el Estadio Único,spotify:track:2AEE3ejP0saHTJQ9i0qGV9
